3
T: soft hard none
4
A: age 3 young pre-presbyopic presbyopic
A: prescription 2 myope hypermetrope
A: astigmatism 2 no yes
A: tear-rate 2 reduced normal
24
D: young myope no reduced none
D: young myope no normal soft
D: young myope yes reduced none
D: young myope yes normal hard
D: young hypermetrope no reduced none
D: young hypermetrope no normal soft
D: young hypermetrope yes reduced none
D: young hypermetrope yes normal hard
D: pre-presbyopic myope no reduced none
D: pre-presbyopic myope no normal soft
D: pre-presbyopic myope yes reduced none
D: pre-presbyopic myope yes normal hard
D: pre-presbyopic hypermetrope no reduced none
D: pre-presbyopic hypermetrope no normal soft
D: pre-presbyopic hypermetrope yes reduced none
D: pre-presbyopic hypermetrope yes normal none
D: presbyopic myope no reduced none
D: presbyopic myope no normal none
D: presbyopic myope yes reduced none
D: presbyopic myope yes normal hard
D: presbyopic hypermetrope no reduced none
D: presbyopic hypermetrope no normal soft
D: presbyopic hypermetrope yes reduced none
D: presbyopic hypermetrope yes normal none
